case                                 status                 min contra leak cont     conflict
G1-A-goal-long-term-value            NEEDS_FIX              .       0    4 NO_BASELI None
G1-B-goal-gmv                        NEEDS_FIX              .       0    2 NO_BASELI None
G2-negative-cta-permission           NEEDS_FIX              .       0    2 NO_BASELI None
G3-boundary-capacity-conflict        NEEDS_FIX              .       0    3 NO_BASELI None
G4-degradation-partial-product-failure NEEDS_FIX              .       0    2 NO_BASELI None
G5-evidence-expiry-observation-window NEEDS_FIX              .       0    3 NO_BASELI None
G6-attachment-unloaded               HARD_FAIL_MIN_OUTPUT   Y       0    0 NO_BASELI None
G7-A-platform-locked                 NEEDS_FIX              .       0    2 NO_BASELI None
G7-B-platform-unlocked               NEEDS_FIX              .       0    4 NO_BASELI None
B01-P-publish-calendar               NEEDS_FIX              .       0    2 NO_BASELI False
B02-1-no-matrix                      NEEDS_FIX              .       0    0 NO_BASELI False
B02-2-blank-account                  NEEDS_FIX              .       0    3 NO_BASELI False
B02-2P-probe-positioning             NEEDS_FIX              .       0    3 NO_BASELI False
B02-3-enterprise-provisional         NEEDS_FIX              .       0    4 NO_BASELI False
B02-4-blocking-dependency            NEEDS_FIX              .       0    2 NO_BASELI False
B03-1-objective-01                   NEEDS_FIX              .       0    2 NO_BASELI False
B03-2-objective-02                   NEEDS_FIX              .       0    2 NO_BASELI False
B03-3-objective-03                   NEEDS_FIX              .       0    4 NO_BASELI False
B03-4-objective-04                   NEEDS_FIX              .       0    2 NO_BASELI False
B03-5-objective-05                   NEEDS_FIX              .       0    2 NO_BASELI False
B03-6-objective-06                   NEEDS_FIX              .       0    2 NO_BASELI False
B03-7-objective-07                   NEEDS_FIX              .       0    4 NO_BASELI False
B03-8-objective-08                   NEEDS_FIX              .       0    2 NO_BASELI False
B03-N2-traffic-rewritten             NEEDS_FIX              .       0    3 NO_BASELI False
B03-N3-gmv-no-path                   NEEDS_FIX              .       0    4 NO_BASELI False
B04-1-mixed-capacity-3               NEEDS_FIX              .       0    3 NO_BASELI False
B04-1P-capacity-1                    NEEDS_FIX              .       0    3 NO_BASELI False
B04-N1-all-in-one                    NEEDS_FIX              .       0    4 NO_BASELI False
B04-N7-mechanical-split              NEEDS_FIX              .       0    3 NO_BASELI False
B05-1-combined-behaviour             NEEDS_FIX              .       0    3 NO_BASELI False
B05-2-skip-order                     NEEDS_FIX              .       0    2 NO_BASELI None
B06-1-capacity-conflict              NEEDS_FIX              .       0    2 NO_BASELI False
B06-P-identical-values               NEEDS_FIX              .       0    3 NO_BASELI False
B07-1-traffic-full-facts             NEEDS_FIX              .       0    2 NO_BASELI False
B07-2-gmv-fact-gap                   NEEDS_FIX              .       0    2 NO_BASELI False
B07-3-fiction-allowed                NEEDS_FIX              .       0    3 NO_BASELI False
B07-P-daily-three                    NEEDS_FIX              .       0    3 NO_BASELI False
B08-1-three-mechanisms               NEEDS_FIX              .       0    3 NO_BASELI False
B08-P-single-anomaly                 NEEDS_FIX              .       0    3 NO_BASELI None
B09-1-strong-signal-poor-fit         NEEDS_FIX              .       0    3 NO_BASELI False
B09-2-medium-signal-good-fit         NEEDS_FIX              .       0    3 NO_BASELI False
B09-3-crowded-no-demand              NEEDS_FIX              .       0    4 NO_BASELI False
B09-4-expired-broad                  NEEDS_FIX              .       0    2 NO_BASELI False
B09-5-no-market-data                 NEEDS_FIX              .       0    2 NO_BASELI False
B09-N5-uniqueness-probe              NEEDS_FIX              .       0    3 NO_BASELI False
B10-1-single-sufficient              NEEDS_FIX              .       0    3 NO_BASELI None
B10-2-multi-consistent               NEEDS_FIX              .       0    4 NO_BASELI None
B10-3-conflicting                    NEEDS_FIX              .       0    2 NO_BASELI True
B10-4-window-open                    NEEDS_FIX              .       0    2 NO_BASELI True
B10-P-simulated-feedback             NEEDS_FIX              .       0    3 NO_BASELI None
B14-1-brief-consumable               NEEDS_FIX              .       0    3 NO_BASELI False
B14-2-legit-no-content-task          NEEDS_FIX              .       0    0 NO_BASELI False
B14-3-hesitation-not-escape          NEEDS_FIX              .       0    4 NO_BASELI False
B15-CTA-three-layer                  NEEDS_FIX              .       0    2 NO_BASELI False
B15-DIR-01-ready-script              NEEDS_FIX              .       0    3 NO_BASELI False
B15-DIR-02-topic-to-brief            NEEDS_FIX              .       0    3 NO_BASELI False
B15-DIR-03-finished-to-pp            NEEDS_FIX              .       0    1 NO_BASELI False
B15-N6-gmv-offsite                   NEEDS_FIX              .       0    3 NO_BASELI False
E01                                  NEEDS_FIX              .       0    3 NO_BASELI False
E02                                  NEEDS_FIX              .       0    4 OK        False
E03                                  NEEDS_FIX              .       0    4 OK        False
E04                                  NEEDS_FIX              .       0    3 MERGED    False
E05                                  NEEDS_FIX              .       0    3 OK        None
E06                                  NEEDS_FIX              .       0    3 OK        None
E07                                  NEEDS_FIX              .       1    4 BLANKET_C True
E08                                  NEEDS_FIX              .       0    2 BLANKET_C False
E09                                  NEEDS_FIX              .       0    2 OK        False
E10                                  NEEDS_FIX              .       0    2 BLANKET_C False
E11                                  NEEDS_FIX              .       0    3 OK        False
E12                                  NEEDS_FIX              .       0    2 OK        False

总计 70 例
最低产出门命中： ['G6-attachment-unloaded']  ← 期望只有 G6
输入槽位矛盾命中：
    E07 -> feedback: 输入槽位有内容，正文却说它缺失/没进来 —— 「**结论**：本轮是复盘更新轮，但核心输入缺了——新反馈的本体还没有进来」
零泄漏（旧数据里理应极少）： ['G6-attachment-unloaded', 'B02-1-no-matrix', 'B14-2-legit-no-content-task']
